"Date","EC"
"2019-06-14",966
"2019-06-15",954
"2019-06-16",936
"2019-06-17",920
"2019-06-18",904
"2019-06-19",891
"2019-06-20",879
"2019-06-21",877
"2019-06-22",875
"2019-06-23",873
"2019-06-24",874
"2019-06-25",876
"2019-06-26",877
"2019-06-27",880
"2019-06-28",883
"2019-06-29",886
"2019-06-30",889
"2019-07-01",888
"2019-07-02",897
"2019-07-03",901
"2019-07-04",902
"2019-07-05",903
"2019-07-06",913
"2019-07-07",920
"2019-07-08",938
"2019-07-09",921
"2019-07-10",921
"2019-07-11",917
"2019-07-12",909
"2019-07-13",908
"2019-07-14",905
"2019-07-15",906
"2019-07-16",923
"2019-07-17",941
"2019-07-18",949
"2019-07-19",964
"2019-07-20",991
"2019-07-21",1010
"2019-07-22",1010
"2019-07-23",1040
"2019-07-24",1090
"2019-07-25",1100
"2019-07-26",1080
"2019-07-27",1070
"2019-07-28",1130
"2019-07-29",1120
"2019-07-30",1100
"2019-07-31",1130
"2019-08-01",1100
"2019-08-02",1130
"2019-08-03",1110
"2019-08-04",1130
"2019-08-05",1120
"2019-08-06",1110
"2019-08-07",1140
"2019-08-08",1130
"2019-08-09",1130
"2019-08-10",1140
"2019-08-11",1140
"2019-08-12",1130
"2019-08-13",1130
"2019-08-14",1130
"2019-08-15",1150
"2019-08-16",1160
"2019-08-17",1140
"2019-08-18",1140
"2019-08-19",1110
"2019-08-20",1125
"2019-08-21",1140
"2019-08-22",1110
"2019-08-23",1150
"2019-08-24",1140
"2019-08-25",1140
"2019-08-26",1080
"2019-08-27",1110
"2019-08-28",1120
"2019-08-29",1150
"2019-08-30",1170
"2019-08-31",1090
"2019-09-01",1070
"2019-09-02",1110
"2019-09-03",1090
"2019-09-04",1060
"2019-09-05",1080
"2019-09-06",1060
"2019-09-07",1100
"2019-09-08",1060
"2019-09-09",1050
"2019-09-10",1080
"2019-09-11",1030
"2019-09-12",1040
"2019-09-13",1010
"2019-09-14",1040
"2019-09-15",973
"2019-09-16",981
"2019-09-17",985
"2019-09-18",1040
"2019-09-19",1000
"2019-09-20",935
"2019-09-21",942
"2019-09-22",956
"2019-09-23",1010
"2019-09-24",926
"2019-09-25",925
